id,name,reason,website
1125,Google Digitalakademin,Känt utländskt företag: google,
1172,DeepMind,Känt utländskt företag: deepmind,
1178,AMD Silo AI,Känt utländskt företag: amd,
1263,Meta AI (Facebook),Känt utländskt företag: meta,
1443,Denefits LLC,Utländsk företagsform: llc,
1444,Practina Inc,Utländsk företagsform:  inc,
1449,OECD,Internationell organisation: oecd,
1496,Webuters Technologies Pvt. Ltd.,Utländsk företagsform:  ltd,
1499,Merantix Momentum GmbH,Utländsk företagsform:  gmbh,
1532,World Economic Forum,Internationell organisation: world economic forum,
1542,Assemble Inc,Utländsk företagsform:  inc,
1699,Gothenburg Artificial Intelligence Alliance,Känt utländskt företag: intel,
1703,Amazon (AWS),Känt utländskt företag: amazon,
1776,Stability AI,Känt utländskt företag: stability ai,
1783,Hugging Face,Känt utländskt företag: hugging face,
1796,Anthropic,Känt utländskt företag: anthropic,
2241,Optimus Fintech Inc,Utländsk företagsform:  inc,
2255,Sazinga Digital Services Pvt Ltd,Utländsk företagsform:  ltd,
2284,Assessed Intelligence,Känt utländskt företag: intel,
